team_name,player_name,16-10-24,17-10-24,18-10-24,19-10-24,20-10-24,22-10-24,23-10-24,24-10-24,Lanzamientos Totales
OBR,Juan Robles,16P 8S 8B<br>0ER 0H,0,21P 15S 6B<br>0ER 1H,0,9P 5S 4B<br>0ER 1H,0,15P 10S 5B<br>0ER 1H,0,61
MOC,Jonas Garibay,0,21P 13S 8B<br>0ER 1H,0,0,16P 12S 4B<br>1ER 2H,0,0,24P 16S 8B<br>1ER 2H,61
OBR,Ulises Lopez,0,0,24P 15S 9B<br>0ER 0H,0,36P 23S 13B<br>0ER 2H,0,0,0,60
MOC,Fabian Cota,11P 7S 4B<br>0ER 0H,0,0,33P 20S 13B<br>0ER 2H,0,11P 9S 2B<br>0ER 0H,5P 3S 2B<br>0ER 0H,0,60
HER,Tayron Guerrero,0,0,0,10P 8S 2B<br>0ER 0H,18P 10S 8B<br>0ER 0H,30P 22S 8B<br>0ER 1H,0,0,58
MOC,Lupe Chavez,0,36P 27S 9B<br>0ER 3H,0,0,22P 13S 9B<br>3ER 3H,0,0,0,58
NAV,Charlie Hasty,10P 8S 2B<br>0ER 0H,11P 7S 4B<br>0ER 0H,0,0,18P 13S 5B<br>0ER 1H,18P 12S 6B<br>0ER 0H,0,0,57
GSV,Carlos Morales,0,0,0,0,32P 19S 13B<br>0ER 2H,0,0,24P 14S 10B<br>0ER 1H,56
OBR,Daniel De La Fuente,0,0,36P 21S 15B<br>0ER 0H,0,0,0,20P 12S 8B<br>0ER 1H,0,56
JAL,Cristian Alvarado,0,13P 9S 4B<br>0ER 0H,0,0,14P 9S 5B<br>0ER 0H,5P 4S 1B<br>0ER 0H,0,23P 12S 11B<br>4ER 3H,55
GSV,Rafael Cordova,14P 10S 4B<br>0ER 1H,0,0,19P 11S 8B<br>0ER 1H,0,7P 4S 3B<br>0ER 0H,0,15P 11S 4B<br>1ER 1H,55
MTY,Alexis Vera,0,0,0,15P 8S 7B<br>0ER 0H,19P 11S 8B<br>1ER 1H,19P 12S 7B<br>0ER 2H,0,0,53
GSV,Fabian Anguamea,18P 12S 6B<br>0ER 1H,0,0,13P 8S 5B<br>0ER 0H,0,22P 16S 6B<br>0ER 0H,0,0,53
MTY,Nestor Anguamea,11P 3S 8B<br>0ER 1H,0,0,7P 4S 3B<br>0ER 0H,14P 9S 5B<br>0ER 1H,0,21P 12S 9B<br>0ER 2H,0,53
NAV,Jose Carlos Medina,0,0,0,38P 23S 15B<br>0ER 2H,0,3P 1S 2B<br>0ER 0H,0,10P 7S 3B<br>1ER 1H,51
NAV,Jorge Sauceda,23P 15S 8B<br>2ER 2H,0,0,22P 9S 13B<br>2ER 2H,0,6P 4S 2B<br>0ER 1H,0,0,51
MAZ,Victor Morales,20P 11S 9B<br>0ER 0H,0,0,0,0,7P 5S 2B<br>0ER 0H,0,23P 15S 8B<br>0ER 0H,50
JAL,Mario Meza,0,0,16P 6S 10B<br>1ER 1H,0,15P 9S 6B<br>0ER 0H,0,19P 14S 5B<br>0ER 0H,0,50
MAZ,J.P. Woodward,6P 4S 2B<br>0ER 0H,0,0,0,22P 13S 9B<br>1ER 2H,13P 9S 4B<br>3ER 3H,9P 1S 8B<br>0ER 0H,0,50
JAL,Alberto Leyva,19P 10S 9B<br>0ER 1H,0,0,18P 10S 8B<br>0ER 0H,0,13P 5S 8B<br>0ER 0H,0,0,50
NAV,Esteban Haro,0,18P 9S 9B<br>0ER 1H,0,0,22P 13S 9B<br>1ER 2H,9P 5S 4B<br>2ER 3H,0,0,49
MTY,Matt Turner,0,0,16P 10S 6B<br>0ER 2H,8P 7S 1B<br>0ER 0H,0,23P 14S 9B<br>1ER 2H,0,0,47
HER,Fernando Salas,0,0,0,18P 10S 8B<br>3ER 5H,7P 6S 1B<br>0ER 0H,7P 5S 2B<br>0ER 1H,15P 13S 2B<br>0ER 2H,0,47
MOC,Tomas Solis,0,10P 6S 4B<br>0ER 0H,13P 6S 7B<br>0ER 1H,8P 5S 3B<br>0ER 0H,0,0,16P 10S 6B<br>0ER 0H,0,47
